"Address","City","State","Zip","Longitude","Latitude"
"5945 Oakbrook Pkwy","Norcross",GA,"30093",-84.2010,33.9142
"414 Gray St","Pooler",GA,"31322",-81.2406,32.1142
"15 Chateau Dr","Rome",GA,"30161",-85.1533,34.2222
"575 Old Holcomb Bridge Rd","Roswell",GA,"30076",-84.3288,34.0244
"6805 Abercorn St","Savannah",GA,"31405",-81.1130,32.0152
"8484 Abercorn St","Savannah",GA,"31406",-81.1265,32.0000
"6 Gateway Blvd South","Savannah",GA,"31419",-81.2815,32.0027
"2971 Main St West","Snellville",GA,"30078",-84.0365,33.8532
"225 Lanier Dr","Statesboro",GA,"30458",-81.7822,32.4080
"3581 Cameron Pkwy","Stockbridge",GA,"30281",-84.2743,33.5532
"6604 Mall Blvd","Union City",GA,"30291",-84.5378,33.5743
"1800 Clubhouse Dr","Valdosta",GA,"31601",-83.3277,30.8404
"1201 Ave H","Carter Lake",IA,"51510",-95.9141,41.2810
"1390 Northwest 118th St","Clive",IA,"50325",-93.7798,41.6025
"3330 East Kimberly Rd","Davenport",IA,"52807",-90.5233,41.5522
"7965 W Emerald Street","Boise",ID,"83704",-116.2811,43.6107
"2613 S Vista Ave","Boise",ID,"83705",-116.2144,43.5786
"901 Specht Ave","Caldwell",ID,"83605",-116.6616,43.6619
"333 W Ironwood Dr","Coeur d Alene",ID,"83814",-116.7909,47.6969
"2501 South 25th East","Idaho Falls",ID,"83406",-111.9820,43.4755
"800 S Allen Street","Meridian",ID,"83642",-116.3566,43.5976
"185 Warbonnet Dr","Moscow",ID,"83843",-117.0375,46.7339
"415 Cedar St","Sandpoint",ID,"83864",-116.5519,48.2760
"539 Pole Line Road","Twin Falls",ID,"83301",-114.4693,42.5920
"1415 West Dundee Rd","Arlington Heights",IL,"60004",-87.9998,42.1389
"2000 South Lakeside Dr","Bannockburn",IL,"60015",-87.8846,42.1967
"505 Brock Dr","Bloomington",IL,"61701",-89.0237,40.4838
"225 West South Frontage Rd","Bolingbrook",IL,"60440",-88.0849,41.6755
"1900 Center Dr","Champaign",IL,"61820",-88.2447,40.1385
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"One South Franklin","Chicago",IL,"60606",-87.6353,41.8816
"4900A S Lake Shore Drive","Chicago",IL,"60615",-87.5858,41.8061
"6 Gateway Drive","Collinsville",IL,"62234",-90.0170,38.6829
"1900 East Oakton St","Elk Grove Village",IL,"60007",-87.9584,42.0225
"5688 Northridge Dr","Gurnee",IL,"60031",-87.9442,42.3780
"2280 Barrington Rd","Hoffman Estates",IL,"60195",-88.1459,42.0626
"5210 Southwick Dr","Matteson",IL,"60443",-87.7407,41.5028
"5450 27th St","Moline",IL,"61265",-90.4991,41.4564
"1 South 666 Midwest Rd","Oakbrook Terrace",IL,"60181",-87.9736,41.8478
"136 Regency Park","OFallon",IL,"62269",-89.9387,38.5885
"4389 Venture Dr","Peru",IL,"61354",-89.1300,41.3631
"1730 East Higgins Rd","Schaumburg",IL,"60173",-88.0377,42.0383
"7255 West 183rd St","Tinley Park",IL,"60477",-87.7942,41.5574
"855 79th St","Willowbrook",IL,"60527",-87.9431,41.7450
"306 Touring Dr","Auburn",IN,"46706",-85.0780,41.3649
"101 Carrie Lane","Columbus",IN,"47201",-85.9609,39.1990
"8015 East Division St","Evansville",IN,"47715",-87.4549,37.9785
"2902 East Dupont Rd","Fort Wayne",IN,"46825",-85.1055,41.1788
"2150 W Holiday Rd","Frankfort",IN,"46041",-86.5453,40.2778
"1281 South Park Dr","Greenwood",IN,"46143",-86.0760,39.6156
"5120 Victory Dr","Indianapolis",IN,"46203",-86.0804,39.7020
"401 E Washington Street","Indianapolis",IN,"46204",-86.1502,39.7669
"2349 Post Dr","Indianapolis",IN,"46219",-86.0108,39.8019
"7304 East 21st St","Indianapolis",IN,"46219",-86.0397,39.7970
"2650 Executive Dr","Indianapolis",IN,"46241",-86.2583,39.7271
"5316 West Southern Ave","Indianapolis",IN,"46241",-86.2509,39.7282
"3880 West 92nd St","Indianapolis",IN,"46268",-86.2281,39.9200
"312 Meijer Drive","Lafayette",IN,"47905",-86.8155,40.4132
"8210 Louisiana St","Merrillville",IN,"46410",-87.3200,41.4695
"2251 Manchester Drive","Plainfield",IN,"46168",-86.3668,39.6736
"23040 Lincolnway West","South Bend",IN,"46628",-86.3138,41.6965
"2400 West Wyatt Earp Blvd","Dodge City",KS,"67801",-100.0473,37.7545
"2930 Eaglecrest Drive","Emporia",KS,"66801",-96.2189,38.4218
"9461 Lenexa Dr","Lenexa",KS,"66215",-94.7303,38.9582
"20570 West 151st St","Olathe",KS,"66061",-94.8191,38.8559
"10610 Marty St","Overland Park",KS,"66212",-94.6707,38.9352
"201 East Diamond Drive","Salina",KS,"67401",-97.6105,38.8784
"7335 East Kellogg Dr","Wichita",KS,"67207",-97.2510,37.6791
"5500 West Kellogg Dr","Wichita",KS,"67209",-97.4065,37.6733
"1953 Mel Browning St","Bowling Green",KY,"42104",-86.4183,36.9306
"210 Commerce Dr","Elizabethtown",KY,"42701",-85.8329,37.7092
"350 Meijer Dr","Florence",KY,"41042",-84.6356,39.0119
"100 Canebrake Dr","Lexington",KY,"40509",-84.3851,37.9607
"1920 Stanton Way","Lexington",KY,"40511",-84.4816,38.1006
"4125 Preston Hwy","Louisville",KY,"40213",-85.7279,38.1926
"1501 Alliant Ave","Louisville",KY,"40299",-85.5363,38.2210
"3960 Coleman Crossing Circle","Paducah",KY,"42001",-88.6829,37.0861
"1751 Lexington Rd","Richmond",KY,"40475",-84.3128,37.7694
"6116 West Calhoun Dr","Alexandria",LA,"71303",-92.5216,31.3459
"2333 South Acadian Thruway","Baton Rouge",LA,"70808",-91.1505,30.4259
"10555 Reiger Rd","Baton Rouge",LA,"70809",-91.0637,30.3824
"1617 Oneal Ln","Baton Rouge",LA,"70816",-91.0076,30.4464
"309 Preston Blvd","Bossier City",LA,"71111",-93.7129,32.5182
"14221 Highway 90","Boutte",LA,"70039",-90.4124,29.8899
"104 Sweetland Avenue","Broussard",LA,"70518",-91.9489,30.1433
"200 Pinnacle Pkwy","Covington",LA,"70433",-90.1368,30.4487
"2816 S Cabela","Gonzales",LA,"70737",-90.9504,30.2077
"50 Terry Pkwy","Gretna",LA,"70056",-90.0392,29.9246
"42126 Veterans Avenue","Hammond",LA,"70403",-90.4560,30.4688
"189 Synergy Center Blvd","Houma",LA,"70360",-90.7603,29.6295
"204 West Frontage Rd","Iowa",LA,"70647",-93.0157,30.2513
"2610 Williams Blvd","Kenner",LA,"70062",-90.2405,30.0044
"2100 Northeast Evangeline Thruway","Lafayette",LA,"70501",-92.0131,30.2521
"1015 West Pinhook Rd","Lafayette",LA,"70503",-92.0135,30.2040
"1201 West Prien Lake Rd","Lake Charles",LA,"70601",-93.2391,30.1979
"1308 Entrance Road","Leesville",LA,"71446",-93.2380,31.0538
"3100 I-10 Service Rd","Metairie",LA,"70001",-90.1549,29.9947
"5900 Veterans Memorial Blvd","Metairie",LA,"70003",-90.2058,30.0057
"2018 Allison St","Morgan City",LA,"70380",-91.1817,29.6958
"611A Queen City Dr","New Iberia",LA,"70560",-91.8566,29.9867
"301 Camp St","New Orleans",LA,"70130",-90.0690,29.9509
"6700 Financial Circle","Shreveport",LA,"71129",-93.8621,32.4494
"126 Holiday Blvd","Slidell",LA,"70460",-89.8295,30.3118
"794 East I-10 Service Rd","Slidell",LA,"70461",-89.7494,30.2825
"2600 South Ruth","Sulphur",LA,"70663",-93.3765,30.2153
"13450 Vera McGowan Rd","Walker",LA,"70785",-90.8623,30.4737
"131 River Rd","Andover",MA,"01810",-71.2088,42.6907
"446 Southbridge St","Auburn",MA,"01501",-71.8415,42.1994
"24 Beaver St","Milford",MA,"01757",-71.4864,42.1489
"23 Cummings St","Somerville",MA,"02145",-71.0848,42.3945
"100 Congress Street","Springfield",MA,"01104",-72.5953,42.1095
"4 Philadelphia Ct","Baltimore",MD,"21237",-76.4907,39.3383
"22769 Three Notch Rd","California",MD,"20619",-76.4969,38.2926
"2112B Emmorton Park Rd","Edgewood",MD,"21040",-76.3098,39.4537
"304 Belle Hill Road","Elkton",MD,"21921",-75.8038,39.6376
"6323 Ritchie Hwy","Glen Burnie",MD,"21061",-76.6136,39.2031
"7300 Crestmount Rd","Jessup",MD,"20794",-76.7888,39.1712
"1734 West Nursery Rd","Linthicum",MD,"21090",-76.6851,39.1972
"106 32nd Street","Ocean City",MD,"21842",-75.0728,38.3614
"300 South Salisbury Blvd","Salisbury",MD,"21801",-75.5966,38.3643
"11770 Business Park Dr","Waldorf",MD,"20601",-76.8982,38.6403
"340 Park Ave","Portland",ME,"04102",-70.2819,43.6557
"41211 Ford Rd","Canton",MI,"48187",-83.4470,42.3216
"30847 Flynn Dr","Romulus",MI,"48174",-83.3418,42.2432
"12888 Reeck Rd","Southgate",MI,"48195",-83.2263,42.2134
"45311 Park Ave","Utica",MI,"48315",-83.0103,42.6283
"7815 Nicollet Ave South","Bloomington",MN,"55420",-93.2764,44.8606
"5151 American Blvd West","Bloomington",MN,"55437",-93.3473,44.8558
"7011 Northland Circle","Brooklyn Park",MN,"55428",-93.3908,45.0818
"1805 Maple Grove Road","Duluth",MN,"55811",-92.1644,46.8101
"10420 Wayzata Blvd","Minnetonka",MN,"55305",-93.4113,44.9740
"4353 Canal Place SE","Rochester",MN,"55904",-92.4629,43.9592
"3402 North West Jefferson St","Blue Springs",MO,"64015",-94.3041,39.0352
"1835 West Hwy 76","Branson",MO,"65616",-93.2515,36.6427
"2500 Interstate 70 Dr Southwest","Columbia",MO,"65203",-92.3759,38.9683
"318 Taylor Rd","Hazelwood",MO,"63042",-90.3552,38.7808
"3320 South Rangeline Rd","Joplin",MO,"64804",-94.4784,37.0531
"2214 Taney","Kansas City",MO,"64116",-94.5588,39.1470
"6901 North West 83rd St","Kansas City",MO,"64152",-94.6600,39.2442
"13615 Riverport Drive","Maryland Heights",MO,"63043",-90.4637,38.7508
"11805 Lackland Rd","Saint Louis",MO,"63146",-90.4345,38.6982
"1610 East Evergreen","Springfield",MO,"65803",-93.2648,37.2487
"2445 N Airport Plaza Avenue","Springfield",MO,"65803",-93.3464,37.2428
"2535 South Campbell","Springfield",MO,"65807",-93.2957,37.1689
"957 Cedar Lake Rd","Biloxi",MS,"39532",-88.9357,30.4458
"215 Dande Rd","Brandon",MS,"39042",-90.0356,32.2761
"152 Soldiers Colony Rd","Canton",MS,"39046",-90.0682,32.6018
"109 Lundy Lane","Hattiesburg",MS,"39401",-89.3497,31.3277
"721 Southwest Dr","Horn Lake",MS,"38637",-90.0023,34.9616
"593 E Beasley Road","Jackson",MS,"39206",-90.1486,32.3850
"1400 Roebuck Dr","Meridian",MS,"39301",-88.6915,32.3503
"7001 Hwy 63 North","Moss Point",MS,"39563",-88.5304,30.4429
"501 South Pearson Rd","Pearl",MS,"39208",-90.1336,32.2635
"982 Highway 12 East","Starkville",MS,"39759",-88.7939,33.4811
"1013 North Gloster St","Tupelo",MS,"38804",-88.7156,34.2770
"4160 South Frontage Rd","Vicksburg",MS,"39180",-90.8390,32.3431
"6445 Jackrabbit Ln","Belgrade",MT,"59714",-111.1874,45.7643
